Country,2017 Rural,2017 Urban,2017 Total,2016 Rural,2016 Urban,2016 Total,2015 Rural,2015 Urban,2015 Total,2014 Rural,2014 Urban,2014 Total,2013 Rural,2013 Urban,2013 Total,2012 Rural,2012 Urban,2012 Total,2011 Rural,2011 Urban,2011 Total,2010 Rural,2010 Urban,2010 Total,2009 Rural,2009 Urban,2009 Total,2008 Rural,2008 Urban,2008 Total,2007 Rural,2007 Urban,2007 Total,2006 Rural,2006 Urban,2006 Total,2005 Rural,2005 Urban,2005 Total,2004 Rural,2004 Urban,2004 Total,2003 Rural,2003 Urban,2003 Total,2002 Rural,2002 Urban,2002 Total,2001 Rural,2001 Urban,2001 Total,2000 Rural,2000 Urban,2000 Total
Latvia,98,99,99,98,99,99,98,99,99,98,99,98,98,99,98,97,99,98,97,99,98,97,99,98,97,99,98,97,99,98,97,99,98,97,99,98,96,99,98,96,99,98,96,99,98,96,99,98,96,99,98,96,99,98
Lebanon,,,93,,,93,,,92,,,92,,,91,,,91,,,90,,,90,,,90,,,89,,,89,,,88,,,88,,,87,,,87,,,86,,,86,,,85
Lesotho,59,93,69,59,93,69,60,92,68,60,91,68,60,91,68,61,90,68,61,89,68,61,88,68,62,87,68,62,87,68,62,86,68,63,85,68,63,84,68,63,83,68,63,83,67,64,82,67,64,81,67,64,80,67
Liberia,62,84,73,61,83,72,61,83,72,60,83,71,60,83,71,59,82,70,58,82,70,58,82,69,57,82,69,56,81,68,56,81,68,55,81,67,54,81,66,53,80,66,52,80,65,51,79,64,51,79,63,50,78,62
Libya,,,99,,,99,,,98,,,97,,,96,,,95,,,94,,,93,,,92,,,91,,,91,,,90,,,89,,,88,,,87,,,86,,,85,,,84
Lithuania,93,100,98,92,100,97,91,99,97,90,99,96,89,99,96,88,99,95,87,99,95,86,99,94,85,98,94,84,98,93,83,98,93,82,98,92,81,98,92,79,97,91,78,97,91,77,97,91,76,97,90,75,97,90
Luxembourg,99,100,100,99,100,100,99,100,100,99,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Madagascar,36,86,54,36,85,53,35,84,52,34,83,51,33,82,50,32,80,48,32,79,47,31,78,46,30,77,45,29,76,44,29,75,43,28,74,42,27,73,41,27,72,39,26,71,38,25,70,38,24,69,37,24,68,36
Malawi,65,86,69,64,86,68,63,86,67,62,86,66,61,86,65,60,86,64,59,86,63,58,86,62,57,86,61,56,86,60,55,86,60,54,86,59,53,86,58,52,86,57,51,86,56,49,86,55,48,86,54,47,86,53
Malaysia,89,99,97,90,99,97,90,99,97,90,99,97,91,99,97,91,99,97,91,99,97,91,99,97,92,99,97,92,99,97,92,99,97,93,99,97,93,99,97,93,99,97,94,99,97,94,99,97,94,99,97,94,99,97
